t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
3.060000000000000000e+03,8.499999999999999778e-01,3.081356295049346040e-13,4.887187219230714351e-14
3.120000000000000000e+03,8.666666666666666963e-01,3.080014712371315066e-13,4.865094342112630113e-14
3.180000000000000000e+03,8.833333333333333037e-01,3.078151158180131878e-13,4.843131241812289171e-14
3.240000000000000000e+03,9.000000000000000222e-01,3.075755571946038559e-13,4.821303212041499806e-14
3.300000000000000000e+03,9.166666666666666297e-01,3.072829638255422126e-13,4.799612037846550632e-14
3.360000000000000000e+03,9.333333333333333481e-01,3.069379062687125943e-13,4.778051279771620521e-14
3.420000000000000000e+03,9.499999999999999556e-01,3.065402103221466856e-13,4.756612783179083188e-14
3.480000000000000000e+03,9.666666666666666741e-01,3.060889754738604157e-13,4.735295489078508498e-14
3.540000000000000000e+03,9.833333333333332815e-01,3.055837196616090479e-13,4.714104650499041547e-14
3.600000000000000000e+03,1.000000000000000000e+00,3.050250918755767321e-13,4.693042606614284484e-14
3.660000000000000000e+03,1.016666666666666607e+00,3.044141856146664172e-13,4.672103592363077171e-14
3.720000000000000000e+03,1.033333333333333437e+00,3.037513806407124457e-13,4.651279496104039129e-14
3.780000000000000000e+03,1.050000000000000044e+00,3.030362719010783611e-13,4.630568700823162531e-14
3.840000000000000000e+03,1.066666666666666652e+00,3.022687710861649758e-13,4.609976093876431814e-14
3.900000000000000000e+03,1.083333333333333259e+00,3.014498827968683119e-13,4.589504341235965313e-14
3.960000000000000000e+03,1.100000000000000089e+00,3.005811024438742181e-13,4.569148267782882464e-14
4.020000000000000000e+03,1.116666666666666696e+00,2.996632480192450035e-13,4.548899893365183198e-14
4.080000000000000000e+03,1.133333333333333304e+00,2.986962963575815253e-13,4.528757274923157878e-14
4.140000000000000000e+03,1.149999999999999911e+00,2.976804332786203114e-13,4.508725236789489105e-14
4.200000000000000000e+03,1.166666666666666741e+00,2.966168897909576604e-13,4.488807081224693813e-14
4.260000000000000000e+03,1.183333333333333348e+00,2.955074331682002370e-13,4.468998501447248593e-14
