t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
1.722000000000000000e+04,4.783333333333333215e+00,7.083842115384660909e-01,1.401043769827448051e-14
1.728000000000000000e+04,4.799999999999999822e+00,7.084253639574872308e-01,1.396149023894314840e-14
1.734000000000000000e+04,4.816666666666666430e+00,7.084569870233934363e-01,1.391283821078833810e-14
1.740000000000000000e+04,4.833333333333333037e+00,7.084812935791265920e-01,1.386445160769752525e-14
1.746000000000000000e+04,4.849999999999999645e+00,7.084999809748936395e-01,1.381630734650570468e-14
1.752000000000000000e+04,4.866666666666666252e+00,7.085143516224444715e-01,1.376838762195304064e-14
1.758000000000000000e+04,4.883333333333333748e+00,7.085254051828098198e-01,1.372067865618241314e-14
1.764000000000000000e+04,4.900000000000000355e+00,7.085339091800006983e-01,1.367316974577633825e-14
1.770000000000000000e+04,4.916666666666666963e+00,7.085404530801774348e-01,1.362585253626734830e-14
1.776000000000000000e+04,4.933333333333333570e+00,7.085454897204104263e-01,1.357872047004322071e-14
1.782000000000000000e+04,4.950000000000000178e+00,7.085493670695965918e-01,1.353176836675215284e-14
1.788000000000000000e+04,4.966666666666666785e+00,7.085523525770803799e-01,1.348499210441048687e-14
1.794000000000000000e+04,4.983333333333333393e+00,7.085546518492595869e-01,1.343838837706664334e-14
1.800000000000000000e+04,5.000000000000000000e+00,7.085564229900044309e-01,1.339195451096219908e-14
